Designator,Mid X,Mid Y,Rotation,Layer
C1,117.729,-51.803,270.0,bottom
C2,133.223,-70.231,0.0,bottom
C3,136.525,-69.469,90.0,bottom
C4,116.225,-55.25,180.0,bottom
C5,133.975,-56.0,0.0,bottom
C6,133.975,-57.5,180.0,bottom
D5,113.916,-74.5,0.0,bottom
D6,136.4625,-74.5,180.0,bottom
F1,119.634,-51.9915,270.0,bottom
J1,118.872,-73.533,0.0,top
J2,108.369,-61.309,0.0,top
J3,142.075,-61.309,0.0,top
P1,125.25,-49.998,0.0,top
Q1,115.062,-65.7325,270.0,top
Q2,117.602,-65.7325,270.0,top
Q3,120.142,-65.7325,270.0,top
Q4,122.682,-65.7325,270.0,top
Q5,125.222,-65.7325,270.0,top
Q6,127.762,-65.7325,270.0,top
Q7,130.302,-65.7325,270.0,top
Q8,132.842,-65.7325,270.0,top
Q9,135.382,-65.7325,270.0,top
R1,133.3,-51.925,270.0,bottom
R2,131.7,-51.925,270.0,bottom
R3,136.75,-62.75,90.0,bottom
R4,118.301,-74.422,0.0,bottom
R5,132.143,-74.422,180.0,bottom
R6,116.0,-65.75,180.0,bottom
R7,137.425,-52.8,180.0,bottom
R8,137.475,-51.2,180.0,bottom
RN2,110.4646,-58.5724,90.0,bottom
RN3,110.4392,-66.3194,90.0,bottom
SW1,125.222,-72.756,0.0,bottom
U1,125.222,-60.7932,225.0,bottom
Y1,133.223,-67.437,0.0,bottom
